text,airline_sentiment
@united what would it cost,neutral
@USAirways Used 2 get emails 1) pre-purchase a snack and 2) when time to check in. Got neither 4 tomorrow's trip. Do they not get sent now?,neutral
"@united no, it was 2 flight Cancelled Flightlations (one due to weather, one mechanical) paid own hotel, bag held in transfer. No voucher/compensation",negative
"@SouthwestAir not frustrated, just an idea! Great crew. Thanks! #happycustomer",positive
@AmericanAir narrowly made standby...lots of snags this trip!,negative
@AmericanAir Pay for my accommodations when you are the ones Cancelled Flightling it for no reason and I know your saying (lying) it cause of weather,negative
But I don't see AA @united,neutral
@SouthwestAir How can you get your TSA traveler ID added to your boarding pass? Why would it not be included as TSA precheck? Flying tomorro,neutral
@USAirways agent won't hold for connection arriving Late Flight. 7 min before departure time but 3 min too Late Flight. Flt 1903 gate c19. Disappointed,negative
@AmericanAir can you tell me why flight 1542 from dfw to phl was Cancelled Flightled for tomorrow?,neutral
"@USAirways Storm or no storm, your customer service is a joke. 6 hour wait time to speak to someone? I will never fly your airline again.",negative
@SouthwestAir would love Tix for Velour show-entered every contest and still haven't won :(,neutral
@united to start 3xweekly #B737-900 flights from #NewOrleans to #Cancun on between 9MAY-5SEP #avgeek,neutral
"@united Flight is awful only one lavatory functioning, and people lining up, bumping, etc. because can't use 1st class bathroom. Ridiculous",negative
"@Usairways need to learn operations. Sit a plane overnight at #gsp, and not realize there's a mech problem. Then delay flight 3 1/2 hours!",negative
@AmericanAir cost me over 200 dollars because flight was Cancelled Flightled and couldn't even give me a food comp!! Fly @JetBlue @Delta they take,negative
"See you in ATL! “@SouthwestAir: Congrats to our #DestinationDragons winners! Ready, Atlanta? http://t.co/AY1GIdcfa4 http://t.co/yC7V2s0iOd”",neutral
@USAirways has the most ass backwards process for using credits on flights. even trying to get a hold of customer relations is impossible,negative
"@SouthwestAir if I am a rapid awards member, does my points apply after I have taken my round trip?",neutral
@united or how about next time my bag is underweight you guys credit me $200. Or how about I take my business to an airline that cares.,negative
@JetBlue Thanks.,neutral
@AmericanAir. It's been 5 hours and still no call and now we are back to being hung up on by an automated system.  #AmericanAirlines,negative
"Nice RT @VirginAmerica: The man of steel might be faster, but we have WiFi – just saying. #ScienceBehindTheExperience http://t.co/FGRbpAZSiX",positive
"@united thanks, i made it.",positive
@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,neutral
@AmericanAir can you take care @Cowboycerrone please.  Thanks,neutral
"@JetBlue big shoutout to the crews on 2017 Bos&gt;jfk &amp; 486 jfk&gt;roc, &amp; gate crews at c19 Bos &amp; 6 jfk. Long day of delays made better by them!",positive
@JetBlue You definitely will!,positive
@USAirways flight 645 to Phoenix deboards passengers going to Salt Lake City because they can't resolve a simple bathroom issue. #fail,negative
@AmericanAir has been almost a month and still no response to my online complaint/questions. Out $300 because of it.,negative
"@AmericanAir 30 minutes flight from OKC and then make us wait, 30 minutes cause the gate isn't empty.  #epicfail #poorplanning",negative
@AmericanAir thanks!!,positive
@AmericanAir Hopefully you guys are willing to cover my lovely car rental and living charges...I love being here for two extra days..,negative
@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,neutral
"@JetBlue flight delayed 3x(!) and still not taking off on time, &amp; greeting me at my seat (yes it's gum &amp; garbage): http://t.co/n9hmcrJChb",negative
"@JetBlue Or...

....how about a 1way LAX-NYC(area) under 190?! Is this possible ?",neutral
@united the best seats should be for paying customers and we should get to board first #badcustomerservice,negative
@united you friend's flt from ase to Denver is Cancelled Flightled for tomorrow.  Can you help with rebook?,neutral
@JetBlue great flight on a brand new jet. Great seating. Beautiful plane. Big fan of this airline.,positive
@JetBlue trivia contest to win flight. 1 question. RT and Follow &amp; I'll send you answer to enter. http://t.co/AucSYKFUHD via @WSJPlus,neutral
@SouthwestAir replacing @vitaminwater with beer! Bravo!👏👏 Cheers! 🍻🍻 @Leinenkugels @DosEquis @FatTire,positive
@USAirways @AmericanAir  ..off to vegas http://t.co/AygAOeB6Uu,neutral
"@SouthwestAir, real sincere apology! Makes my day! Glad to know flying mail is more important than me. Never flying SW again! #badservice",negative
@United @Skywest do it again!   I will now miss one or probably both our Aspen events. #Fail,negative
@united since when did you get so good again!  4 transcontinental flights in 72h.  What a pleasure/relief you were.,positive
@USAirways @americanair I feel sorry for AA,negative
@united also checked email you have on file for me and it is correct,neutral
"@AmericanAir i was just severely upset by the rude cs rep. I get she's prob stressed, but I am too! An ""aw, let me help"" cld mk it btr",negative
@AmericanAir @USAirways you can help by now finding my baggage!!  Reply to me ASAP with who I can direct details to.,negative
"@AmericanAir @barrettkarabis what a joke you can mail
The receipt !! Yet. We can't mail
Them
A payment and fly before hand right",negative
@AmericanAir I'm frustrated by all of the @USAirways attitude toward #ExecPlat members. #thenewamerican,negative
@AmericanAir your message was delayed I just responded,neutral
“@united: @leigh_emery We don't like to hear this. Is there anything we can help with? Thanks. ^EY” another empty offer for help.,negative
"@JetBlue We had 2 great flights into and out of the Bahamas, even during the bad weather in the northeast, thanks for the great service!!!",positive
@USAirways understood and so does us airways.  Getting through tsa is the problem,negative
".@SouthwestAir Yes, total of 4 hours on hold. With all the Cancelled Flightlations, one would think there would be more staff. Decided to cx and drive",negative
"@USAirways Can you help with a seat assignment?  5 people flight 694, PHX to HNL, seats are split up.  Anything you can do will be great.",neutral
@united 40+ minutes waiting at the gate for the broken jetway. Different gate maybe?,negative
@AmericanAir  having trouble getting rebooked,negative
"@USAirways I left my son's Duke hat on flight #1761 last night. It says ""Mason"" on the back. Any way of locating it? Thanks in advance!",neutral
"@AmericanAir, ask your new colleagues @USAirways how they handled US 728 on 21 Feb. I expect to be made whole again. Check complaint inbox.",negative
"@united ruined my day &amp; start trip SFO to GIG. both legs changed, lost my paid upgrade &amp; 200 1st class seat &amp; moved me from Econ + to Econ",negative
@united your seats are god awful.,negative
@USAirways thank you,neutral
@JetBlue 1951 BOS to ORD,neutral
@AmericanAir I've been calling you for 3 straight days and no one picks up. Sure there are storms but there are also #customers Holler!,negative
"@AmericanAir I sure hope you all can fix @USAirways. Good luck, their service sucks. #nexttimeiwillflysouthwest",negative
@USAirways on hold 3 hours !!!!!! What's the number to speak to someone this is unacceptable I need to change flights,negative
"@USAirways I already did. My question is, why does it still say in progress on @AskPayPal? It's been 6 days.",negative
@JetBlue no m'good. Just get me home,neutral
@USAirways want to bump up my seet to first class for two Cancelled Flightlations in 24hrs?? what a joke,negative
"@united Your new mileage policy is awful. Before, I might have paid slightly more for United because of miles. Now there's no difference.",negative
.@united Your airline is again rated the WORST in America so you've got your work cut out for you. It's bc you treat customers like garbage.,negative
@JetBlue how do I get a copy of my last flight showing original time and delay? I need it for work. Thanks!,neutral
@USAirways I would appreciate a call regarding a HORRIBLE experience I had with a gate agent. Was on hold for 39 min and then hung on me.,negative
@USAirways thanks!,positive
@AmericanAir @cyncyn661 Are you now flying 763s to Madrid from JFK or is this DFW/ORD? Huge !!,neutral
"@AmericanAir
 Your response could have made all the difference. It could have made the situation better. NO TRUST...GET LOST like my bag.",negative
😂😂😂 “@JetBlue: Our fleet's on fleek. http://t.co/BBaONx9txD”,neutral
@JetBlue thank you will do!! You guy are awesome!,positive
@AmericanAir yes. Just sayin' that was a particularly poorly handled situation.,negative
@USAirways can you DM me &amp; add me to the upgrade list for a flt tonight?,neutral
@SouthwestAir Looking forward to out Power of Inclusion event with very special guests! We will begin promptly at 11:30 a.m. #SWADiversity,neutral
@USAirways  in don't have it on me at the time as I am taking Amtrak home. How do we call for partial refunds?,negative
@united 3/10 disappointed in the service. Will be missing my connection after over an hour delay + cramped seats. At least their app is good,negative
@USAirways delayed I'm charlotte big surprise,negative
@AmericanAir No worries. Don't blame you for weather.,neutral
@USAirways I'm dumping this dividend miles card and forgetting your airline exists #ridiculous #theworstairlineever,negative
"@united Your staff, both on deck and in the cabin on UA768 SFO -&gt; BOS were exceptional today. Please tell them well done :)",positive
@JetBlue's CEO battles to appease passengers and Wall Street - @TheVDT http://t.co/h6cE3mWCqj,negative
@SouthwestAir I was on hold for two hours and finally hung up. I was able to do what I needed to without customer service eventually.,negative
@AmericanAir it's not just frustrating--it was PAID for! how do we get a refund?,negative
@JetBlue I will. I love flying with you all. Great service.,positive
@SouthwestAir is having a party in the atl terminal. #letitgo http://t.co/qxTeqZm3yz,neutral
@united 2 employee yelled at her. 3 employee stood with others whispering and pointing at her from behind counter,negative
@AmericanAir After 3 days NO BAGs amazing the way that you neglect customers,negative
"@JetBlue not ok to Cancelled Flight flight 1274 tmrw for ""weather"" &amp; to rebook 4 flight the next day when there is flight tmrw night. no compensation?",negative
@USAirways @DRVRugby  team is back home but luggage all wet and partly damaged - Not happy! #blizzard,negative
@SouthwestAir @TaylorLumsden Taylor.  U gotta love SWA responsiveness at the@very least huh?,negative
"@united I would understand if weather was the issue, but bc of airline maintenance I had to sleep on an airport floor and lose an entire day",negative
@JetBlue is there also a way I can get a printed one for my records? I keep them whenever I fly ;),neutral
@AmericanAir good care of their customers if anything happen to then take you @Delta  for getting me back to NYC !! Screw you @AmericanAir,negative
@USAirways 2nd February in a row- stranded us when we try to return from Cancun! No contact info- no way to rebook! #badcustomerservice,negative
@JetBlue #kudos! And we're done and heading to warmer weather!,positive
@JetBlue #Bluemanity @AirlineAdviser loves this. Have a great time flying this,positive
"@SouthwestAir Thanks for two smooth, safe and fast flights! #Boston #Houston #LUVSWA http://t.co/elhxUV0Uj1",positive
@jetblue any idea where the plane for flight 672 is coming from? I thought flight 305 from JFK but that wouldn't explain delay.,negative
@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️,negative
@united. It's not my first time flying to the US. I have medical info. Looking for practical like my adapted seat cushion allowed on?,neutral
"@JetBlue not cool. At the gate, turns out my flight from FLL to JAX is delayed, yet app says on time. Not a good start.",negative
@SouthwestAir can someone help me set up a callback today?,negative
"@USAirways @AmericanAir hey guys, due to some horrible customer service issues is there any way I can get a checked bag credit?",negative
.@SouthwestAir she needs a wheelchair at the gate for sure. What options does she have?,neutral
@USAirways @AmericanAir my friends are stranded at KPHL and the representatives there won't even give them food vouchers…any help please?,negative
@united looks like I'm settled in to where I'm going.  Thx.,positive
"@USAirways no. Other than being on my credit card statement, I have not received anything from you and so I have no way to look it up myself",negative
@AmericanAir @RLDelahunty record l#oaaret got email we couldn't get rescheduled on another flight but don't know if flight is Cancelled Flightled,negative
@SouthwestAir almost an hour on hold for swa is inexcusable #hiremorepeople,negative
@SouthwestAir @love_dragonss LAUREN OMG BEST AIRLINE EVER,positive
"@united cs thinks that miles can repair the damage done, it will be interesting if they travel in @united and exp the worst flight ever!",negative
@united You're welcome.,positive
@united No. Denver said they don't handle baggage that made it to Colo. Springs.  They gave me an 800 number to call. No help there either.,negative
@usairways 2+ hr wait &amp; really bad exp @PHLAirport. luggage won't arrive w/ me Do I really have 2go back LAS airport 2 pick up when arrives?,negative
@SouthwestAir staff was overall awful through multiple airports would have switched airlines if another flight was available,negative
"@AmericanAir I paid extra $ for my seat &amp; the monitor didn't work from on AA111. How about a refund on the seat? Conf #: MDBEEI, McMullen",negative
@united Fantastic job by your people today on ua22 from Dublin. A jam packed plane but the crew was wonderful!!,positive
@united our 1 layover itinerary was swapped for a 3 layover itinerary - really?!?,negative
"@AmericanAir Need to change flight, but the CS # is telling me it can't take my call. Can't change online. Please help. Flight is this week.",negative
"@AmericanAir Miami-PhL flight Cancelled Flightled just as I got to the gate. No one from AA around, no one on the phone. Awful awful awful.",negative
@AmericanAir you've got to be kidding. Look at the pictures.  I'm hoping it's on the flight that just came in. The whole story is 2 much,negative
@USAirways the entire flight crew on flight 738 from BOS to PHL is doing a wonderful job and making this experience not totally suck. 😊,positive
@AmericanAir you Cancelled Flight both flights yesterday and rebook me in middle seat. Not acceptable. Upgrade to emergency row would help. #nothappy,negative
@united Held up for almost 45 minutes and then promised free movies and it didn't work and neither did the wifi that was paid for. Boo :(,negative
@united whom can I call to discuss - as I was told that united has no phone contact with passengers  - this is absurd...,negative
@United. What's going on with UA 236?  outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever,negative
"@AmericanAir @dfwairport Guys, let it go. http://t.co/vOxcghciJi",positive
@united my son is a passenger on flight 3710 from Chicago to Toronto. The plane came within feet of colliding  another plane and is stopped.,negative
@united that I would get on early enough to not have to green tag. but no go. if not for Otis I would be still sitting at ORD,negative
"@united @lpdstock tweet bots obviously don't get sarcasm, making computers more and more like real people.",negative
@united I am still in the airport waiting for my flight.,negative
"@AmericanAir thanks for the call on my Cancelled Flightled flight, NOT!  Flight Booking Problems me for Tues no good weather caused me 2 leave early",negative
@USAirways 45 minute delay for take off and 30 minute wait for checked bags? Really?,negative
I ❤️ flying @VirginAmerica. ☺️👍,positive
@SouthwestAir will there a non-stop flight from Midway to Boise for this summer season? Looking to book at labor day trip.  Ty,neutral
@USAirways One of your workers was very rude with us. We can tell you in DM cuz it won't be any good publicity...,negative
@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao,neutral
@united plz don't advertise wifi if it's not gonna work thanks #worstflightever,negative
@americanair I sure do. I'm running version 3.10.0,neutral
"@USAirways your customer service is a joke. First a mechanical Cancelled Flightation, now weather. On hold since 5:30 am. No humans. Pls call me!",negative
"@JetBlue glitches on website re: Flight Booking Problems travel &amp; checking in. Nothing between ur site &amp; the airport was communicated, it was a nightmare.",negative
@JetBlue keep going back and forth with being able to board and then not. But great agents in savannah!,positive
@united there is a disconnect between your PR group and the actual business strategy and employee attitude on the ground.  #liars #united,negative
@united 's new #flierfriendly is garbage. Just had to cry to get attendant to find a place for my medical supplies with limited overhead,negative
@united flight from san fransico to jfk was evacuated why?,negative
@united I mean is there a real live person somewhere I can go and speak to at Newark post security?,negative
@united I'm not sure why I expected anyone to be here http://t.co/bnFlHPXtmw,negative
@SouthwestAir All flights are booked . They are saying I have to wait until tomorrow.,negative
@JetBlue hopefully this flight Seattle to Boston 2pm will have wifi. Our first one did not and we had to entertain ourselves! #lizaapproved,negative
@united its 2015. How can my flight from a major city already be Cancelled Flightled 24 hours before departure due to weather??  Backup planes??,negative
@SouthwestAir i forgot to put my tsa pre number in before I checked in. It is now in my profile but will it be on my boarding pass in the am,neutral
"@SouthwestAir the woman working the counter in philly at 630 this am needs to be fired. Due to bad weather, I along with other passengers",negative
@united Thanks!,positive
"@united besides landing the plane, overall customer service experience has been poor. Late Flight and rude workers plus missing luggage",negative
@AmericanAir I cannot believe how long flight 759 PHI  is taking. I know it's US Airways but you own it. I would really like to get home.,negative
@JetBlue not making a great first impression on my first flight. 20 minutes before boarding and the gate agent still can't assign me a seat?,negative
@united beginning of Feb I called United they said they would send another voucher by mail. Never got anything. #tiredofwaiting,negative
@JetBlue saving my sanity. Leaving it behind for sunshine. #escape #FL #bliss #travel #InDenial #WhatFrozenPipes http://t.co/6TtzEJV3hY,neutral
"@united bull crap.  I spent $600 on a recent trip.  That's not small change. I got 10,000 AA miles.  Would have only been 6600 UA",negative
@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,positive
@AmericanAir ...have you seen Blue? Go look it up :),positive
@AmericanAir Of course you are because that's your companies job! You guys failed at it in the first place. Upgrade me and then we'll talk.,neutral
@JetBlue just wondering if the website is having issues today. Trying to book a flight with my visa I always use and its rejecting it.,negative
@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,negative
"@SouthwestAir big thanks to your team. family emerg, same day ticket, experience was excellent. 1st time flying with yall, not my last!",positive
@united I did they did not.  I did submit a complaint on line and never heard back from that - I don't have that ID- you should find it,negative
